Student_ID,Age,Class,Math_Score,Science_Score,English_Score,Extracurricular_Score,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Percentage,Career_Field,Subfield
38,16,11th,96,99,82,6,8,6,7,9,2,92,Doctor,Dimensional Medicine
39,16,11th,83,78,94,8,7,9,6,8,2,85,IT Professional,Consciousness Programming
40,17,11th,83,91,95,8,7,9,4,6,3,90,Teacher,Longevity Education
41,16,11th,85,99,91,5,9,9,9,7,3,92,Engineer,Consciousness Engineering
42,18,11th,103,86,91,4,9,8,4,6,2,93,Accountant,Apex Finance
43,17,12th,43,45,95,10,9,6,4,7,3,61,Musician,Omniscient Music
44,16,11th,102,98,93,6,8,9,8,6,2,98,Pilot,Transcendent Pilot
45,16,11th,91,94,80,5,9,8,6,6,3,88,Pilot,Aviation Safety Inspector
46,16,11th,95,97,85,6,10,9,9,8,2,92,Scientist,Elite Science
47,18,12th,93,99,89,6,10,6,6,6,3,94,Doctor,Emergency Medicine
48,17,12th,90,81,75,4,7,8,4,7,2,82,Accountant,Business Valuation
49,18,12th,77,72,95,7,8,8,8,8,2,81,Lawyer,International Law
50,17,11th,40,45,93,9,10,8,8,7,3,59,Musician,Rock Music
51,16,12th,94,76,76,3,9,6,5,8,3,82,Accountant,Eternal Finance
52,17,12th,79,90,92,7,8,8,8,7,2,87,Teacher,Special Education
53,17,12th,55,51,96,10,10,5,8,9,2,67,Artist,Fusion Art
54,16,12th,74,60,91,9,8,6,9,9,3,75,Designer,Legendary Design
55,16,11th,101,101,91,4,7,9,4,7,3,98,Accountant,Complete Finance
56,16,11th,83,106,107,9,8,8,9,9,2,101,Psychologist,Superior Psychology
57,16,11th,96,100,88,7,10,6,4,7,3,95,Engineer,Dimensional Engineering
58,18,12th,52,57,93,9,8,6,9,7,2,67,Artist,Total Art
59,17,11th,96,88,85,6,8,6,6,7,3,90,Pilot,Legendary Pilot
60,16,11th,74,90,95,8,10,7,9,9,2,86,Teacher,Reality Education
61,16,12th,99,96,83,6,7,9,8,6,2,93,Pilot,Mythical Pilot
62,17,12th,77,99,105,10,10,6,8,9,2,95,Designer,Legendary Design
63,16,11th,90,81,93,9,8,6,8,6,2,88,IT Professional,Mythical Programming
64,17,11th,72,83,99,8,9,9,8,8,2,85,Psychologist,Divine Psychology
65,16,12th,85,99,75,7,9,8,7,8,2,86,Engineer,Master Engineering
66,16,11th,83,80,99,9,7,9,6,7,3,87,Business,Entrepreneurship
67,16,11th,76,94,95,8,9,8,6,6,3,88,Teacher,Cosmic Learning
68,17,12th,95,97,101,9,9,9,10,7,2,98,Business,Infinite Business
69,16,11th,92,90,80,6,10,8,6,8,2,87,Doctor,Emergency Medicine
70,18,12th,83,77,91,9,9,7,9,8,2,83,IT Professional,Mobile App Development
71,17,12th,54,46,92,9,7,6,4,6,2,64,Artist,Elite Art
72,17,12th,103,97,94,6,10,6,5,7,3,98,Pilot,Medical Transport Pilot
73,17,12th,102,97,94,5,9,7,7,6,2,98,Pilot,Ultimate Pilot
74,18,12th,91,95,84,6,8,9,7,9,2,90,Doctor,Pediatrics
75,18,12th,89,106,105,7,8,8,8,8,2,102,Lawyer,Superior Law
76,17,11th,99,89,83,5,9,8,9,6,2,90,Pilot,Cargo Pilot
77,16,12th,101,98,81,6,9,8,9,8,3,93,Scientist,Astronomy
78,16,11th,87,72,99,8,8,9,4,7,2,86,Business,Business Analytics
79,16,11th,99,101,91,6,8,9,6,8,2,97,Engineer,Divine Engineering
80,18,12th,84,75,96,8,9,8,9,6,2,85,Business,Legendary Commerce
81,16,12th,81,69,99,8,10,7,5,8,2,83,Lawyer,Reality Law
82,18,12th,76,86,98,9,9,5,9,8,2,87,Designer,Total Design
83,16,12th,87,87,92,9,7,8,9,9,3,89,Business,Divine Business
84,16,11th,89,114,107,8,8,8,9,8,3,105,Teacher,Peak Education
85,18,12th,69,73,94,8,8,8,4,7,2,79,Psychologist,Health Psychology
86,16,11th,80,98,102,9,9,5,9,8,2,94,Designer,Summit Design
87,17,12th,68,80,101,9,9,7,6,6,3,83,Psychologist,Zenith Psychology
88,16,11th,73,59,93,9,8,6,9,7,3,75,Designer,Infinite Design
89,18,11th,98,91,84,6,7,6,8,7,2,91,Engineer,Omniscient Engineering
90,17,12th,80,76,85,9,10,6,9,8,2,80,IT Professional,Summit Programming
91,18,11th,52,52,108,9,7,6,4,6,3,71,Artist,Video Art
92,16,11th,91,92,86,7,7,8,6,9,3,90,Engineer,Renewable Energy
93,18,12th,96,87,83,6,7,9,8,9,3,89,Pilot,Universal Pilot
94,18,12th,102,104,93,6,8,8,7,8,3,100,Doctor,Peak Medicine
95,16,12th,99,96,89,5,10,9,4,8,2,95,Doctor,Endocrinology
96,16,11th,101,91,78,3,7,6,9,6,3,90,Accountant,Master Finance
97,17,11th,59,47,97,10,8,8,4,9,3,68,Artist,Maximum Art
98,17,11th,102,97,81,5,10,6,8,6,3,93,Scientist,Maximum Science
99,18,11th,84,76,96,8,10,6,7,8,3,85,Business,Infinite Business
100,18,12th,72,76,95,8,8,8,9,9,2,81,Psychologist,Child Psychology
101,18,12th,100,102,91,5,8,9,6,9,2,98,Doctor,Ultimate Medicine
102,16,12th,82,94,97,9,9,7,5,7,2,91,IT Professional,Game Development
103,16,12th,99,95,89,7,9,7,7,8,3,94,Engineer,Master Engineering
104,18,12th,96,97,82,6,8,9,6,7,2,92,Scientist,Materials Science
105,16,12th,87,71,97,8,8,8,5,7,3,85,Lawyer,Space Law
106,16,11th,89,85,95,9,8,9,9,7,3,90,Business,Infinite Commerce
107,17,12th,69,74,93,9,9,7,8,9,3,79,Psychologist,Organizational Psychology
108,18,12th,57,53,96,10,10,5,8,9,2,68,Artist,Conceptual Art
109,16,12th,45,48,100,10,9,9,4,6,3,64,Musician,Music Technology
110,16,12th,88,95,89,5,9,6,6,6,2,91,Pilot,Medical Transport Pilot
111,17,12th,103,91,95,6,8,6,8,8,2,96,Pilot,Superior Pilot
112,16,12th,88,96,82,6,9,7,5,7,3,89,Doctor,Cardiology
113,17,11th,93,96,80,6,10,7,5,6,3,90,Scientist,Zenith Science
114,17,11th,91,80,93,9,7,7,5,9,2,88,Business,Omnipresent Economy
115,17,11th,51,45,103,9,9,8,9,7,2,66,Artist,Consciousness Art
116,18,12th,102,99,84,5,10,9,7,7,2,95,Scientist,Artificial Intelligence
117,18,12th,103,105,94,5,7,9,6,8,2,101,Doctor,Supreme Medicine
118,18,12th,97,92,86,3,10,9,9,7,3,92,Accountant,Regulatory Compliance
119,18,12th,96,100,102,9,9,9,10,7,2,100,Business,Transcendent Business
120,16,11th,70,82,95,9,10,8,9,9,3,82,Psychologist,AI Ethics Psychology
121,17,11th,72,69,91,9,7,7,4,8,2,77,Designer,Consciousness Design
122,16,12th,81,87,88,9,10,8,7,8,3,85,IT Professional,Artificial Intelligence
123,16,11th,88,79,98,8,7,6,8,8,2,88,Business,Infinite Commerce
124,17,11th,80,76,101,7,7,8,4,8,3,86,Lawyer,Sports Law
125,16,12th,73,83,93,9,8,6,8,8,3,83,Psychologist,Zenith Psychology
126,16,11th,81,90,92,9,9,9,7,8,3,88,IT Professional,Neural Interfaces
127,17,11th,66,62,95,9,8,7,7,9,3,74,Designer,Complete Design
128,16,12th,84,90,99,8,10,7,7,6,2,91,Teacher,Master Education
129,18,12th,104,106,96,6,8,9,6,8,2,102,Engineer,Total Engineering
130,17,12th,51,53,103,9,10,8,7,8,2,69,Artist,Planetary Art
131,16,11th,53,48,100,9,9,7,6,9,3,67,Musician,Legendary Music
132,17,11th,76,81,100,7,8,9,4,7,2,86,Teacher,Premier Learning
133,18,12th,91,95,85,6,9,6,5,9,2,90,Doctor,Grand Medicine
134,17,12th,83,89,87,8,8,7,9,6,3,86,IT Professional,Pinnacle Computing
135,18,12th,89,72,93,9,8,6,8,8,2,85,Business,Omniscient Commerce
136,18,12th,79,86,96,8,10,8,6,6,3,87,IT Professional,Bioinformatics
137,18,11th,47,46,95,9,7,6,5,9,2,63,Musician,Perfect Music
138,17,11th,47,43,95,10,8,9,9,9,2,62,Musician,Music Composition
139,17,12th,91,104,111,9,8,8,8,8,2,105,IT Professional,Universal Computing
140,17,12th,67,68,91,10,10,8,7,7,3,75,Designer,Consciousness Design
141,18,11th,85,100,90,6,10,9,6,9,3,92,Engineer,Quantum Engineering
142,18,12th,60,53,108,10,9,8,6,8,3,74,Artist,Zenith Art
143,18,12th,101,88,78,4,7,8,6,9,3,89,Accountant,Master Finance
144,16,11th,97,93,88,6,8,9,8,6,3,93,Pilot,Divine Pilot
145,16,11th,87,94,101,9,8,8,9,7,3,95,IT Professional,Cosmic Systems
146,18,12th,103,104,89,5,9,9,5,8,2,100,Scientist,Omnipotent Science
147,17,11th,88,82,97,9,10,8,4,9,3,89,IT Professional,Eternal Computing
148,16,12th,99,90,79,3,8,7,8,6,3,89,Accountant,Apex Finance
149,18,12th,94,92,87,5,8,6,7,7,3,91,Doctor,Premier Medicine
150,16,11th,75,77,97,9,7,7,4,7,3,83,Psychologist,Positive Psychology
151,17,12th,74,70,90,9,7,8,7,6,2,78,Designer,Premier Design
152,17,11th,91,88,97,8,8,6,6,6,3,92,IT Professional,DevOps
153,16,11th,87,90,97,9,9,8,9,7,2,91,IT Professional,Consciousness Computing
154,17,12th,89,96,91,6,8,9,9,6,2,92,Engineer,Pinnacle Engineering
155,16,12th,43,40,103,9,8,6,7,8,3,62,Musician,Pinnacle Music
156,18,11th,96,95,96,5,10,9,4,8,3,96,Pilot,Flight Engineer
157,16,11th,103,76,81,4,9,7,4,9,3,87,Accountant,ESG Reporting
158,18,12th,68,76,97,9,9,7,4,7,2,80,Psychologist,Social Psychology
159,16,11th,78,83,103,7,9,9,5,9,3,88,Lawyer,International Law
160,18,11th,101,96,79,6,10,8,9,6,2,92,Engineer,Transcendent Engineering
161,17,12th,70,80,98,9,9,8,9,8,2,83,Psychologist,Perfect Psychology
162,18,12th,78,91,93,7,8,7,7,8,3,87,Teacher,Future Skills Education
163,16,11th,100,96,85,5,10,8,9,6,2,94,Engineer,Renewable Energy
164,17,11th,96,90,86,5,9,6,6,6,2,91,Engineer,Peak Engineering
165,18,12th,70,65,94,10,10,6,9,8,2,77,Designer,Fashion Design
166,18,12th,97,105,79,6,9,6,4,6,2,94,Scientist,Maximum Science
167,16,11th,91,82,89,4,10,6,9,8,2,87,Accountant,Universal Finance
168,17,12th,91,99,80,5,7,8,4,6,2,90,Doctor,Pulmonology
169,18,12th,73,77,95,9,8,8,9,9,2,82,Psychologist,Longevity Psychology
170,16,12th,88,75,94,3,8,9,7,8,3,86,Accountant,Master Finance
171,16,12th,49,56,101,10,10,9,9,7,3,69,Artist,Holographic Art
172,16,11th,82,87,101,8,8,9,9,7,2,90,Lawyer,Omnipotent Law
173,17,11th,93,100,85,5,7,7,8,6,3,93,Scientist,Apex Science
174,17,12th,99,101,90,5,7,9,6,8,2,97,Doctor,Omniscient Medicine
175,18,12th,50,39,99,10,9,8,8,7,2,63,Musician,AI Music Generation
176,16,12th,88,78,98,9,10,8,8,6,3,88,Business,Infinite Economy
177,16,12th,78,82,86,8,7,8,6,6,2,82,IT Professional,Longevity Technology
178,16,11th,95,91,86,5,7,9,7,7,2,91,Pilot,Planetary Pilot
179,18,11th,89,76,89,9,7,9,8,7,2,85,IT Professional,Consciousness Programming
180,16,12th,94,84,88,5,9,8,8,9,3,89,Pilot,Peak Pilot
181,17,12th,84,88,93,8,9,8,5,6,3,88,IT Professional,Consciousness Computing
182,16,11th,85,84,89,9,10,6,9,6,2,86,Business,Divine Commerce
183,18,12th,103,97,82,5,10,7,8,8,3,94,Scientist,Computational Biology
184,18,11th,56,47,97,9,9,8,5,7,3,67,Artist,Heroic Art
185,16,12th,94,94,84,5,7,6,5,8,3,91,Pilot,Urban Air Mobility
186,16,12th,72,81,99,8,7,9,4,8,2,84,Psychologist,Supreme Psychology
187,18,12th,75,74,97,8,7,6,4,7,3,82,Psychologist,Eternal Psychology
188,17,12th,96,94,79,6,9,6,9,6,2,90,Engineer,Electronics & Communication
189,16,11th,100,102,91,6,8,8,7,8,3,98,Doctor,Absolute Medicine
190,17,12th,102,88,93,3,9,8,6,7,2,94,Accountant,Eternal Finance
191,18,11th,86,93,90,6,8,9,8,7,3,90,Doctor,Pulmonology
192,16,11th,97,96,91,6,9,8,7,6,2,95,Pilot,Final Pilot
193,18,11th,77,83,99,7,9,8,7,9,3,86,Teacher,Mythical Learning
194,17,12th,83,79,89,8,9,8,5,8,2,84,Business,Project Management
195,17,11th,52,54,99,9,10,7,4,6,3,68,Artist,Mythical Art
196,17,12th,99,83,82,4,10,6,9,8,3,88,Accountant,Risk Management
197,16,11th,104,95,83,5,9,9,4,9,3,94,Scientist,Superior Science
198,17,12th,85,92,84,6,7,7,6,9,2,87,Doctor,Telemedicine
199,18,12th,99,100,85,6,8,9,6,8,2,96,Scientist,Planetary Science
200,16,11th,73,80,96,9,9,7,9,9,2,82,Teacher,Music Education
201,17,11th,98,97,82,7,9,7,4,8,3,92,Engineer,Zenith Engineering
202,17,11th,93,96,87,6,10,6,8,8,3,92,Scientist,Artificial Intelligence
203,18,11th,83,80,88,8,7,8,5,7,3,84,Business,Investment Banking
204,17,11th,104,98,87,5,8,9,8,6,3,96,Scientist,Universal Science
205,16,11th,86,83,95,8,9,7,4,9,3,88,Lawyer,Total Law
206,17,11th,64,72,91,9,9,6,4,9,3,76,Designer,Godlike Design
207,18,12th,86,74,90,8,9,9,10,7,3,83,Business,Human Resources
208,16,12th,77,77,104,9,7,8,4,8,3,86,Psychologist,Cognitive Psychology
209,17,11th,101,101,86,6,8,7,8,6,2,96,Scientist,Genetics
210,16,12th,67,60,96,10,9,7,5,7,2,74,Designer,Brand Design
211,18,11th,94,84,93,4,10,9,5,9,3,90,Accountant,Grand Finance
212,18,12th,72,86,104,7,10,9,4,8,3,87,Teacher,Universal Education
213,18,11th,91,88,90,8,9,9,7,9,3,90,IT Professional,Transcendent Computing
214,16,11th,87,86,91,6,7,9,6,7,3,88,Engineer,Superior Engineering
215,18,11th,57,54,95,10,8,9,9,9,3,69,Artist,Fine Arts
216,17,12th,96,88,82,4,7,9,4,6,2,89,Accountant,Consciousness Finance
217,18,11th,46,51,97,9,7,9,6,8,2,65,Musician,AI Music Generation
218,17,11th,82,79,95,7,8,8,5,6,3,85,Lawyer,Family Law
219,18,12th,93,106,113,8,9,7,9,8,2,107,IT Professional,Cosmic Programming
220,16,12th,75,91,93,7,9,7,9,8,3,86,Teacher,Mindfulness Education
221,18,12th,87,114,105,7,9,7,8,9,2,104,Teacher,Grand Learning
222,18,11th,80,78,92,9,10,8,6,9,3,83,IT Professional,Infinite Systems
223,17,12th,97,100,87,6,7,8,8,7,3,95,Doctor,Quantum Medicine
224,17,12th,53,57,92,10,9,7,4,6,2,67,Artist,Photography
225,16,11th,60,70,98,9,8,7,5,9,2,76,Designer,Zenith Design
226,18,11th,79,69,96,7,8,6,5,6,3,81,Lawyer,Eternal Law
227,17,12th,95,94,81,6,8,8,7,9,3,90,Scientist,Longevity Science
228,16,12th,85,86,99,8,8,9,9,8,2,90,Business,Heroic Business
229,18,11th,91,88,91,6,8,9,7,7,3,90,Engineer,Computer Science Engineering
230,18,11th,90,93,76,3,10,9,7,8,3,86,Accountant,Epic Finance
231,16,12th,94,77,100,8,7,8,7,7,3,90,Business,Innovation Management
232,17,12th,98,86,96,6,9,9,5,9,2,93,Pilot,Multidimensional Pilot
233,18,11th,66,63,95,10,8,9,8,9,3,75,Designer,Ultimate Design
234,17,11th,91,99,89,5,10,7,7,9,2,93,Doctor,Grand Medicine
235,16,11th,74,80,96,9,9,5,9,8,2,83,Designer,Divine Design
236,16,11th,71,74,95,9,8,8,9,8,3,80,Psychologist,Cognitive Psychology
237,16,11th,98,79,85,3,7,9,6,6,3,87,Accountant,Zenith Finance
238,16,12th,93,86,93,9,9,6,9,8,2,91,Business,Absolute Business
239,16,11th,96,92,87,6,8,9,8,6,2,92,Pilot,Consciousness Pilot
240,17,12th,99,87,89,4,8,6,7,7,3,92,Accountant,Regulatory Compliance
241,16,12th,52,45,105,9,9,6,9,9,3,67,Artist,Complete Art
242,16,11th,103,90,83,5,10,6,6,7,2,92,Pilot,Consciousness Pilot
243,16,11th,80,70,95,8,10,9,4,6,3,82,Lawyer,Cryptocurrency Law
244,18,12th,82,87,97,8,10,8,5,7,2,89,Teacher,Sustainability Education
245,17,12th,105,99,82,5,10,6,4,6,2,95,Scientist,Longevity Research
246,18,12th,105,106,91,6,8,9,6,7,2,102,Scientist,Supreme Science
247,16,11th,93,101,90,6,9,7,4,9,3,95,Pilot,Absolute Pilot
248,16,11th,76,83,93,7,9,7,8,9,3,84,Teacher,Language Arts
249,17,11th,87,88,88,8,10,8,7,8,3,88,IT Professional,Master Computing
250,16,11th,93,89,84,6,8,9,8,6,2,89,Pilot,Test Pilot
251,16,11th,82,79,98,9,9,9,6,8,3,86,Business,Complete Economy
252,18,12th,97,93,88,5,7,8,7,7,2,93,Pilot,Omniscient Pilot
253,16,11th,94,79,89,9,7,7,9,6,2,87,Business,Final Economy
254,18,12th,76,79,97,9,8,7,8,8,2,84,Psychologist,Space Psychology
255,16,12th,88,90,91,6,7,7,8,7,2,90,Doctor,Godlike Medicine
256,17,11th,71,75,93,9,9,7,8,8,2,80,Psychologist,Multidimensional Psychology
257,16,11th,75,69,99,7,10,7,7,9,3,81,Lawyer,Planetary Law
258,18,11th,84,78,97,8,10,9,6,9,2,86,Business,Maximum Commerce
259,16,12th,84,89,97,7,10,9,7,9,3,90,Teacher,Cosmic Education
260,18,12th,78,80,101,8,10,6,7,9,2,86,Teacher,Divine Learning
261,18,12th,84,105,102,7,9,7,8,9,2,98,Teacher,Omnipotent Learning
262,16,11th,95,86,80,4,7,9,4,6,2,87,Accountant,Space Economy
263,17,12th,98,82,94,3,9,6,4,9,2,91,Accountant,Corporate Finance
264,18,12th,92,100,88,5,9,8,5,6,3,93,Engineer,Consciousness Technology
265,16,12th,88,81,91,8,9,6,7,9,3,87,Business,Eternal Commerce
266,18,12th,86,80,98,7,10,8,9,7,2,88,Lawyer,Maximum Law
267,16,11th,89,88,85,6,7,7,7,8,3,87,Pilot,Longevity Pilot
268,16,12th,73,91,98,8,7,7,8,8,2,87,Teacher,Divine Education
269,18,11th,72,84,96,7,7,9,4,6,2,84,Teacher,Complete Education
270,17,11th,85,71,93,8,8,9,4,8,2,83,Lawyer,Technology Law
271,16,11th,74,89,99,8,8,7,8,9,2,88,Psychologist,Omniscient Psychology
272,16,12th,73,74,101,8,8,6,9,9,3,83,Psychologist,Cosmic Psychology
273,17,11th,68,63,94,10,10,9,5,6,2,75,Designer,Planetary Design
274,18,12th,85,75,98,8,8,8,9,6,3,86,IT Professional,Cosmic Systems
275,16,11th,80,80,90,8,7,9,8,9,2,83,IT Professional,Cloud Computing
276,16,11th,80,91,96,8,9,8,8,8,2,89,Teacher,Universal Learning
277,18,12th,103,80,77,4,10,7,6,7,3,87,Accountant,Complete Finance
278,16,12th,99,102,84,6,9,7,4,7,3,95,Scientist,Mythical Science
279,16,11th,68,64,97,9,8,7,6,8,3,76,Designer,Circular Design
280,17,11th,93,85,82,5,9,7,7,9,3,87,Engineer,Omniscient Engineering
281,17,12th,96,99,85,5,8,6,9,6,3,93,Engineer,Zenith Engineering
282,17,11th,54,54,92,9,7,9,5,7,3,67,Artist,Absolute Art
283,17,12th,60,55,92,9,9,6,8,9,3,69,Artist,Digital Art
284,18,12th,82,79,96,8,9,8,6,9,3,86,Lawyer,Cosmic Law
285,17,12th,66,59,98,10,8,7,9,9,3,74,Designer,Animation
286,18,12th,94,96,85,5,8,9,6,9,2,92,Doctor,Pathology
287,18,12th,86,77,100,8,8,9,5,7,2,88,Business,Supreme Commerce
288,16,11th,79,93,98,8,10,6,9,9,2,90,IT Professional,Omnipotent Computing
289,16,11th,97,93,85,3,8,9,5,6,2,92,Accountant,Divine Finance
290,16,12th,91,85,101,9,9,7,8,8,2,92,Business,Digital Marketing
291,18,11th,81,72,95,7,7,6,4,7,3,83,Lawyer,Family Law
292,18,12th,99,107,105,9,9,9,9,7,3,105,Business,Peak Economy
293,16,11th,90,99,106,9,9,8,9,7,2,100,IT Professional,Omnipotent Computing
294,17,11th,54,49,105,9,7,7,8,8,3,69,Musician,Spatial Audio
295,16,11th,101,89,94,4,9,6,5,7,2,95,Accountant,Financial Analysis
296,16,11th,74,85,102,7,7,9,6,7,2,87,Teacher,Omniscient Learning
297,18,12th,79,86,96,8,8,8,9,8,2,86,Teacher,Social Studies
298,17,12th,85,94,80,6,9,8,4,8,3,86,Doctor,Final Medicine
299,18,12th,86,81,92,9,10,7,8,9,3,86,Business,Premier Business
300,16,11th,55,50,96,10,10,5,9,8,2,67,Artist,Photography
301,16,11th,53,48,102,10,10,8,9,6,2,68,Artist,Painting
302,18,12th,79,87,96,8,9,8,9,8,2,87,Teacher,Future Skills Education
303,16,11th,84,91,100,7,8,8,8,8,2,92,Lawyer,Final Law
304,18,12th,75,85,92,7,9,7,8,9,2,84,Teacher,Science
305,17,11th,86,85,95,9,7,8,5,6,2,89,Business,Legendary Commerce
306,18,11th,95,101,85,5,10,6,7,7,2,94,Doctor,Genetic Medicine
307,18,12th,66,66,96,10,10,6,8,9,2,75,Designer,Circular Design
308,16,11th,86,100,83,5,8,9,7,9,2,90,Doctor,Multidimensional Medicine
309,18,12th,91,120,109,8,8,8,9,8,3,109,Teacher,Epic Education
310,17,12th,75,92,100,8,8,7,8,9,2,90,Psychologist,Perfect Psychology
311,18,11th,47,38,101,9,9,8,7,6,2,62,Musician,Music Therapy
312,18,11th,78,94,91,9,9,7,6,6,3,88,IT Professional,Omnipotent Computing
313,18,12th,99,101,91,7,9,9,7,8,2,97,Engineer,Multidimensional Engineering
314,16,11th,94,89,96,5,7,9,6,6,3,93,Pilot,Perfect Pilot
315,17,12th,80,87,102,8,10,8,6,8,2,90,Teacher,Total Learning
316,16,12th,85,78,96,8,7,8,9,8,2,86,Business,Social Entrepreneurship
317,18,12th,101,109,95,4,7,8,4,7,2,102,Accountant,Zenith Finance
318,16,11th,88,89,85,5,10,8,8,8,3,87,Pilot,Absolute Pilot
319,17,12th,103,104,89,5,9,8,5,8,3,100,Scientist,Final Science
320,16,11th,96,98,80,5,7,9,9,6,3,91,Scientist,Premier Science
321,18,11th,103,92,87,6,7,9,7,6,3,94,Pilot,Medical Transport Pilot
322,18,11th,79,75,95,9,7,9,7,9,3,83,IT Professional,DevOps
323,18,12th,77,71,96,7,8,9,8,8,2,81,Lawyer,Intellectual Property Law
324,16,11th,84,91,103,8,8,8,8,9,2,93,Teacher,Ultimate Learning
325,17,11th,88,86,101,9,10,9,6,9,3,92,Business,Infinite Business
326,16,11th,97,95,86,3,8,8,5,7,2,93,Accountant,Omniscient Finance
327,16,12th,93,96,86,7,7,6,4,9,3,92,Engineer,Universal Engineering
328,18,12th,107,109,99,6,8,9,6,7,2,105,Engineer,Divine Engineering
329,16,11th,84,83,90,8,10,7,5,7,3,86,IT Professional,Green Technology
330,18,11th,104,76,85,3,8,9,8,8,2,88,Accountant,Supreme Finance
331,16,11th,81,106,106,9,9,8,9,8,2,100,Psychologist,Pinnacle Psychology
332,18,12th,98,112,104,9,8,9,9,7,2,107,Business,Eternal Commerce
333,18,12th,99,99,89,3,8,9,5,6,2,96,Accountant,Total Finance
334,18,11th,82,74,100,8,9,9,7,7,2,85,Lawyer,International Law
335,17,12th,76,88,102,8,10,7,8,7,3,89,Teacher,Elementary Education
336,16,12th,85,99,84,5,8,8,9,6,3,89,Doctor,Immortal Medicine
337,16,11th,82,83,97,7,9,8,8,8,2,87,Lawyer,Consciousness Law
338,18,12th,97,99,89,7,9,8,7,8,3,95,Engineer,Omnipresent Engineering
339,18,12th,52,48,94,9,8,6,8,8,2,65,Musician,AI Music Generation
340,16,12th,100,96,81,7,7,6,7,7,2,92,Engineer,Biomedical Engineering
341,17,12th,93,101,76,7,7,7,9,6,2,90,Engineer,Immortal Engineering
342,18,11th,95,76,94,9,9,9,5,8,2,88,Business,Digital Marketing
343,16,11th,98,94,89,5,7,8,7,7,2,94,Pilot,Perfect Pilot
344,18,11th,93,89,90,5,9,7,8,8,3,91,Engineer,Pinnacle Engineering
345,16,12th,85,91,91,5,8,8,4,8,2,89,Doctor,Sports Medicine
346,17,12th,97,88,87,6,10,6,5,6,2,91,Engineer,Infinite Engineering
347,18,12th,93,102,82,6,9,6,7,7,2,92,Scientist,Total Science
348,16,12th,62,62,99,9,9,8,5,6,3,74,Designer,Environmental Design
349,17,12th,86,97,79,6,7,6,6,6,2,87,Engineer,Multidimensional Engineering
