Student_ID,Math_Score,Science_Score,English_Score,Extracurricular_Score,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Percentage,Career_Field,Subfield,Career_Subfield
66,57,56,85,9,10,6,6,6,3,69,Designer,Graphic Design,Designer → Graphic Design
67,81,81,73,6,7,8,5,8,4,76,IT Professional,Software Development,IT Professional → Software Development
68,80,86,79,6,8,8,7,8,4,76,Doctor,General Medicine,Doctor → General Medicine
69,80,76,75,5,8,8,6,8,3,72,IT Professional,UI/UX,IT Professional → UI/UX
70,100,80,74,5,7,8,6,7,2,80,Engineer,Aerospace,Engineer → Aerospace
71,85,78,88,6,7,9,7,8,4,79,Business,Management,Business → Management
72,75,75,94,5,9,9,7,9,2,74,Teacher,Administration,Teacher → Administration
73,68,61,93,6,8,7,10,6,3,69,Business,Finance,Business → Finance
74,73,63,86,8,9,9,9,7,4,74,Business,Finance,Business → Finance
75,90,83,80,6,7,9,6,9,5,81,Teacher,Elementary,Teacher → Elementary
76,98,91,80,7,9,7,4,6,4,87,Engineer,Civil,Engineer → Civil
77,75,69,71,9,6,8,10,6,5,75,Business,Operations,Business → Operations
78,85,89,64,5,6,9,5,7,3,76,Engineer,Aerospace,Engineer → Aerospace
79,85,80,85,4,6,10,7,6,4,74,Engineer,Chemical,Engineer → Chemical
80,90,78,88,9,9,10,10,8,4,86,Business,Operations,Business → Operations
81,65,80,83,5,7,10,7,5,5,71,Lawyer,Criminal Law,Lawyer → Criminal Law
82,84,75,78,8,7,8,8,8,4,80,Business,Marketing,Business → Marketing
83,73,69,92,4,7,10,9,7,3,69,Lawyer,Criminal Law,Lawyer → Criminal Law
84,72,63,89,8,10,8,7,7,7,74,Designer,Industrial,Designer → Industrial
85,61,69,78,7,8,5,6,6,4,69,Designer,Fashion,Designer → Fashion
86,98,97,71,5,8,7,6,7,5,82,Engineer,Chemical,Engineer → Chemical
87,80,93,71,4,10,8,5,6,3,74,Scientist,Biology,Scientist → Biology
88,85,82,76,4,8,9,4,8,6,74,Engineer,Electrical,Engineer → Electrical
89,90,94,77,7,6,9,4,5,5,84,Engineer,Mechanical,Engineer → Mechanical
90,85,85,74,5,9,10,5,6,5,76,Engineer,Electrical,Engineer → Electrical
91,96,94,81,5,7,8,5,5,4,83,Engineer,Mechanical,Engineer → Mechanical
92,72,65,76,7,8,9,9,7,5,70,Business,Entrepreneurship,Business → Entrepreneurship
93,77,68,80,7,8,10,7,7,5,74,Lawyer,IP Law,Lawyer → IP Law
94,85,77,80,6,8,9,7,6,5,77,Lawyer,Criminal Law,Lawyer → Criminal Law
95,100,80,68,6,9,8,5,8,2,79,Engineer,Aerospace,Engineer → Aerospace
96,55,54,86,9,8,5,9,8,5,68,Designer,Architecture,Designer → Architecture
97,65,80,96,6,7,8,8,6,6,74,Lawyer,IP Law,Lawyer → IP Law
98,72,70,93,7,8,10,9,7,5,75,Lawyer,Family Law,Lawyer → Family Law
99,66,82,75,7,9,7,9,7,4,74,Teacher,Elementary,Teacher → Elementary
100,85,91,74,8,7,10,5,9,4,84,Doctor,Pediatrics,Doctor → Pediatrics
101,67,67,89,4,9,10,7,7,5,67,Lawyer,Family Law,Lawyer → Family Law
102,75,90,79,5,7,9,5,10,4,76,Doctor,General Medicine,Doctor → General Medicine
103,100,96,73,4,8,9,7,7,5,82,Engineer,Electrical,Engineer → Electrical
104,63,63,88,8,10,7,9,7,5,72,Designer,Industrial,Designer → Industrial
105,72,74,82,8,9,8,7,10,5,76,Teacher,English,Teacher → English
106,81,68,90,6,9,10,7,10,5,75,Teacher,Special Education,Teacher → Special Education
107,68,56,84,10,9,8,10,7,4,73,Business,Entrepreneurship,Business → Entrepreneurship
108,100,95,74,6,6,10,6,7,3,85,Engineer,Mechanical,Engineer → Mechanical
109,71,62,89,8,8,9,8,5,6,73,Lawyer,Public Interest,Lawyer → Public Interest
110,65,80,84,8,7,10,7,7,3,77,Teacher,Elementary,Teacher → Elementary
111,86,70,83,5,7,7,8,8,5,74,IT Professional,UI/UX,IT Professional → UI/UX
112,82,99,90,7,7,9,8,8,4,87,Doctor,Cardiology,Doctor → Cardiology
113,89,92,81,5,10,8,6,5,5,81,Scientist,Research,Scientist → Research
114,70,75,79,10,8,7,6,7,7,79,Designer,Industrial,Designer → Industrial
115,96,85,75,5,9,9,5,7,4,80,Scientist,Data Science,Scientist → Data Science
116,79,84,95,6,8,7,9,8,4,79,Teacher,Special Education,Teacher → Special Education
117,70,56,87,8,9,7,7,9,6,72,Designer,Graphic Design,Designer → Graphic Design
118,80,85,65,4,10,7,5,5,3,70,Scientist,Physics,Scientist → Physics
119,100,97,67,7,9,8,4,8,2,87,Engineer,Mechanical,Engineer → Mechanical
120,80,85,71,7,9,9,7,6,5,78,Scientist,Research,Scientist → Research
121,73,71,87,7,7,8,6,5,6,74,Lawyer,IP Law,Lawyer → IP Law
122,80,90,81,5,7,7,6,5,6,77,IT Professional,Data Science,IT Professional → Data Science
123,80,96,75,6,9,10,6,6,4,79,Scientist,Physics,Scientist → Physics
124,82,75,88,8,7,10,7,8,4,80,Teacher,Special Education,Teacher → Special Education
125,87,96,70,7,7,9,4,8,3,83,Engineer,Mechanical,Engineer → Mechanical
126,87,77,79,8,10,6,6,8,3,81,IT Professional,AI/ML,IT Professional → AI/ML
127,71,90,95,6,9,10,7,8,3,80,Teacher,Elementary,Teacher → Elementary
128,77,75,73,5,9,7,7,8,5,70,IT Professional,UI/UX,IT Professional → UI/UX
129,85,92,82,3,9,9,5,6,5,76,Engineer,Mechanical,Engineer → Mechanical
130,91,85,80,4,9,10,5,8,2,76,Scientist,Environmental,Scientist → Environmental
131,69,65,92,8,9,9,9,7,5,75,Business,Marketing,Business → Marketing
132,76,69,78,6,8,9,8,7,2,71,Teacher,English,Teacher → English
133,71,75,80,10,9,6,9,7,5,79,Designer,UI/UX,Designer → UI/UX
134,78,63,97,7,8,8,9,8,3,76,Lawyer,Environmental Law,Lawyer → Environmental Law
135,87,92,84,7,7,8,5,9,4,84,Doctor,Psychiatry,Doctor → Psychiatry
136,60,60,85,9,9,5,6,6,5,70,Designer,Game Design,Designer → Game Design
137,95,92,70,7,6,9,6,8,5,84,Doctor,Neurosurgery,Doctor → Neurosurgery
138,90,62,77,9,6,9,9,7,6,78,Business,Management,Business → Management
139,78,55,80,6,8,9,7,6,6,68,Lawyer,IP Law,Lawyer → IP Law
140,87,85,80,3,10,9,7,6,3,74,Scientist,Chemistry,Scientist → Chemistry
141,85,100,75,5,8,8,7,10,3,80,Doctor,Orthopedics,Doctor → Orthopedics
142,100,93,74,5,7,9,5,6,6,84,Engineer,Chemical,Engineer → Chemical
143,65,65,88,7,7,9,8,8,4,72,Lawyer,Family Law,Lawyer → Family Law
144,86,85,81,6,7,8,8,10,2,79,Doctor,Pediatrics,Doctor → Pediatrics
145,82,88,75,6,9,7,8,10,3,79,Teacher,Mathematics,Teacher → Mathematics
146,93,84,80,5,8,10,6,7,5,79,Engineer,Electrical,Engineer → Electrical
147,89,78,70,4,7,6,7,7,4,73,IT Professional,Data Science,IT Professional → Data Science
148,72,70,96,7,7,9,8,6,6,76,Lawyer,Family Law,Lawyer → Family Law
149,82,73,81,7,8,9,7,6,5,76,Lawyer,Public Interest,Lawyer → Public Interest
150,72,59,72,10,8,7,9,8,4,74,Designer,Industrial,Designer → Industrial
151,84,85,78,4,7,10,8,9,2,75,Doctor,Pediatrics,Doctor → Pediatrics
152,89,100,90,6,8,10,7,10,4,86,Doctor,Pediatrics,Doctor → Pediatrics
153,61,50,85,9,8,8,9,7,6,68,Designer,Game Design,Designer → Game Design
154,73,63,95,7,8,10,10,9,6,74,Business,Management,Business → Management
155,88,96,72,7,9,8,7,7,2,83,Engineer,Aerospace,Engineer → Aerospace
156,84,62,70,8,7,10,9,6,6,73,Business,Operations,Business → Operations
157,75,70,92,8,9,7,7,8,3,77,Business,Consulting,Business → Consulting
158,81,94,65,5,9,8,4,7,3,76,Scientist,Biology,Scientist → Biology
159,100,98,73,5,7,8,6,6,4,84,Engineer,Chemical,Engineer → Chemical
160,75,60,81,4,6,8,8,7,4,65,Lawyer,Environmental Law,Lawyer → Environmental Law
161,93,90,65,4,8,8,7,5,4,77,IT Professional,AI/ML,IT Professional → AI/ML
162,76,67,84,7,6,8,8,5,6,74,Lawyer,IP Law,Lawyer → IP Law
163,75,100,74,4,8,10,5,9,4,76,Doctor,Pediatrics,Doctor → Pediatrics
164,91,100,88,6,7,8,6,7,4,87,Doctor,Psychiatry,Doctor → Psychiatry
165,92,98,66,7,7,9,6,6,4,83,Engineer,Electrical,Engineer → Electrical
166,85,64,81,6,9,9,7,6,3,73,Lawyer,IP Law,Lawyer → IP Law
167,92,83,73,6,6,8,7,7,6,80,Engineer,Civil,Engineer → Civil
168,80,81,65,7,8,9,7,6,7,76,IT Professional,Cybersecurity,IT Professional → Cybersecurity
169,65,68,97,7,9,8,7,7,4,73,Lawyer,Public Interest,Lawyer → Public Interest
170,86,88,83,4,10,8,6,7,3,76,Scientist,Research,Scientist → Research
171,86,92,68,5,7,7,6,6,4,78,Engineer,Civil,Engineer → Civil
172,82,95,86,4,6,9,7,7,4,78,Doctor,Cardiology,Doctor → Cardiology
173,76,65,79,7,9,8,10,9,6,71,Business,Finance,Business → Finance
174,82,80,76,7,8,9,5,6,6,77,IT Professional,UI/UX,IT Professional → UI/UX
175,76,80,81,5,8,9,8,7,5,73,Lawyer,Family Law,Lawyer → Family Law
176,100,91,78,4,8,7,4,7,5,80,Engineer,Mechanical,Engineer → Mechanical
177,81,79,78,6,9,7,7,6,6,76,IT Professional,Cybersecurity,IT Professional → Cybersecurity
178,82,75,78,9,7,9,8,6,5,81,Business,Entrepreneurship,Business → Entrepreneurship
179,77,75,91,5,7,7,9,10,3,74,Teacher,Elementary,Teacher → Elementary
180,84,85,76,6,9,8,7,8,2,78,Doctor,Psychiatry,Doctor → Psychiatry
181,86,93,71,5,9,10,5,5,3,78,Scientist,Environmental,Scientist → Environmental
182,87,100,73,7,10,8,5,5,2,85,Scientist,Biology,Scientist → Biology
183,95,81,74,6,8,6,6,5,6,79,IT Professional,Software Development,IT Professional → Software Development
184,80,93,65,5,8,9,7,5,4,74,Scientist,Research,Scientist → Research
185,71,76,78,7,9,7,7,10,3,75,Teacher,Elementary,Teacher → Elementary
186,80,97,83,4,9,8,8,9,4,77,Doctor,Orthopedics,Doctor → Orthopedics
187,90,85,83,6,7,8,7,7,3,80,Teacher,Administration,Teacher → Administration
188,93,93,71,7,9,10,4,7,5,84,Engineer,Mechanical,Engineer → Mechanical
189,73,70,73,8,7,8,8,6,4,74,Business,Marketing,Business → Marketing
190,91,85,81,6,10,9,7,8,3,81,Scientist,Data Science,Scientist → Data Science
191,76,57,90,8,9,7,7,8,6,74,Designer,Graphic Design,Designer → Graphic Design
192,85,98,79,4,9,8,4,5,3,78,Engineer,Mechanical,Engineer → Mechanical
193,100,100,71,5,8,8,7,8,2,83,Scientist,Chemistry,Scientist → Chemistry
194,73,80,79,8,6,9,8,7,5,77,Business,Operations,Business → Operations
195,84,77,73,8,9,7,7,6,6,79,IT Professional,UI/UX,IT Professional → UI/UX
196,88,85,70,6,6,9,5,10,4,78,Doctor,Pediatrics,Doctor → Pediatrics
197,93,76,68,7,10,8,7,6,4,78,IT Professional,Cybersecurity,IT Professional → Cybersecurity
198,69,75,73,7,9,8,9,6,6,72,Designer,Architecture,Designer → Architecture
199,94,99,85,7,8,7,5,7,3,89,Scientist,Research,Scientist → Research
200,100,82,73,5,9,8,4,8,5,79,Engineer,Civil,Engineer → Civil
201,55,75,88,9,9,7,8,8,6,74,Designer,Industrial,Designer → Industrial
202,76,56,97,5,6,10,8,7,6,69,Lawyer,Corporate Law,Lawyer → Corporate Law
203,84,71,98,5,9,9,9,5,5,76,Lawyer,Public Interest,Lawyer → Public Interest
204,86,78,68,5,10,8,4,8,7,72,IT Professional,Data Science,IT Professional → Data Science
205,78,74,88,4,8,8,6,7,4,71,Lawyer,Criminal Law,Lawyer → Criminal Law
206,76,59,74,9,9,7,9,7,3,72,Designer,Game Design,Designer → Game Design
207,90,86,79,7,8,10,7,10,2,83,Doctor,Psychiatry,Doctor → Psychiatry
208,88,85,76,5,10,7,5,5,5,78,Scientist,Data Science,Scientist → Data Science
209,85,92,77,6,8,8,6,8,2,80,Doctor,General Medicine,Doctor → General Medicine
210,78,88,70,6,10,7,7,6,7,75,IT Professional,Data Science,IT Professional → Data Science
211,95,100,88,7,8,9,6,8,4,91,Doctor,Orthopedics,Doctor → Orthopedics
212,100,92,72,3,8,7,5,5,2,78,Engineer,Computer Science,Engineer → Computer Science
213,79,57,95,7,9,8,10,9,5,74,Business,Management,Business → Management
214,96,98,74,6,8,8,7,6,4,84,Scientist,Chemistry,Scientist → Chemistry
215,93,84,77,8,9,7,6,6,6,85,IT Professional,Cybersecurity,IT Professional → Cybersecurity
216,84,83,83,8,7,10,7,7,3,83,Teacher,Mathematics,Teacher → Mathematics
217,83,94,88,4,6,9,8,7,4,79,Doctor,Orthopedics,Doctor → Orthopedics
218,80,55,82,6,6,9,9,7,5,69,Lawyer,IP Law,Lawyer → IP Law
219,62,68,86,10,8,5,8,8,6,76,Designer,Fashion,Designer → Fashion
220,72,72,73,7,9,8,9,7,6,73,Designer,Fashion,Designer → Fashion
221,84,88,88,4,8,9,7,9,2,78,Doctor,Cardiology,Doctor → Cardiology
222,69,71,81,10,9,5,8,8,5,78,Designer,Game Design,Designer → Game Design
223,61,65,80,10,10,6,6,8,6,74,Designer,Fashion,Designer → Fashion
224,67,64,80,9,8,7,8,7,4,74,Designer,Game Design,Designer → Game Design
225,81,57,81,7,9,9,7,6,3,71,Lawyer,Environmental Law,Lawyer → Environmental Law
226,82,79,83,7,7,10,8,7,5,78,Business,Finance,Business → Finance
227,95,90,79,4,8,8,5,10,3,80,Doctor,Pediatrics,Doctor → Pediatrics
228,91,96,73,5,6,10,8,7,3,81,Doctor,General Medicine,Doctor → General Medicine
229,83,71,85,5,7,8,5,5,4,74,IT Professional,Cybersecurity,IT Professional → Cybersecurity
230,78,66,78,7,10,8,9,9,5,73,Teacher,Elementary,Teacher → Elementary
231,80,85,86,3,7,8,5,8,5,73,Doctor,Pediatrics,Doctor → Pediatrics
232,97,85,70,7,8,8,6,7,3,82,Scientist,Environmental,Scientist → Environmental
233,89,65,80,7,10,9,8,8,4,77,Teacher,English,Teacher → English
234,93,94,60,7,6,8,6,8,6,82,Engineer,Aerospace,Engineer → Aerospace
235,86,75,89,8,9,10,8,8,4,82,Business,Management,Business → Management
236,94,96,81,6,10,8,6,5,3,85,Scientist,Data Science,Scientist → Data Science
237,73,67,80,5,9,10,8,7,5,69,Lawyer,Environmental Law,Lawyer → Environmental Law
238,80,83,73,7,10,6,7,7,7,77,IT Professional,UI/UX,IT Professional → UI/UX
239,84,80,90,5,6,8,9,5,6,77,Lawyer,Public Interest,Lawyer → Public Interest
240,71,73,75,5,10,8,7,9,4,69,Teacher,Special Education,Teacher → Special Education
241,83,83,88,7,9,8,8,7,4,81,Teacher,Administration,Teacher → Administration
242,96,80,75,4,8,9,7,7,6,75,Engineer,Electrical,Engineer → Electrical
243,68,71,80,7,9,8,6,6,6,71,Lawyer,Criminal Law,Lawyer → Criminal Law
244,84,86,75,9,8,9,9,10,2,84,Teacher,Science,Teacher → Science
245,90,90,71,6,7,9,6,7,6,80,IT Professional,UI/UX,IT Professional → UI/UX
246,85,67,88,6,7,9,8,6,3,76,Lawyer,Public Interest,Lawyer → Public Interest
247,85,92,90,7,8,8,7,9,3,86,Doctor,Cardiology,Doctor → Cardiology
248,68,67,83,7,9,8,8,7,5,71,Lawyer,Criminal Law,Lawyer → Criminal Law
249,81,90,65,6,8,9,7,6,6,77,IT Professional,DevOps,IT Professional → DevOps
250,82,89,90,6,9,9,8,7,4,81,Doctor,Psychiatry,Doctor → Psychiatry
251,68,50,84,10,9,5,7,6,6,72,Designer,Fashion,Designer → Fashion
252,69,83,84,7,7,10,9,8,5,77,Teacher,Mathematics,Teacher → Mathematics
253,90,55,89,7,7,9,9,8,3,75,Business,Entrepreneurship,Business → Entrepreneurship
254,100,94,70,5,6,9,6,6,2,83,Engineer,Computer Science,Engineer → Computer Science
255,65,69,79,9,7,8,8,9,5,74,Teacher,Elementary,Teacher → Elementary
256,79,65,89,9,8,10,9,8,3,79,Teacher,Administration,Teacher → Administration
257,81,75,68,4,9,9,6,7,6,69,IT Professional,UI/UX,IT Professional → UI/UX
258,88,90,71,5,7,9,8,6,7,78,IT Professional,Data Science,IT Professional → Data Science
259,93,92,67,5,10,10,6,8,4,79,Scientist,Environmental,Scientist → Environmental
260,92,90,83,6,10,8,6,6,6,84,IT Professional,DevOps,IT Professional → DevOps
261,83,90,78,6,8,9,6,6,5,79,IT Professional,UI/UX,IT Professional → UI/UX
262,93,94,89,5,8,9,7,8,3,85,Doctor,Orthopedics,Doctor → Orthopedics
263,91,90,68,8,8,7,7,6,6,84,IT Professional,UI/UX,IT Professional → UI/UX
264,72,79,80,6,7,10,6,5,5,74,Lawyer,Corporate Law,Lawyer → Corporate Law
265,80,60,98,4,6,8,7,6,3,70,Lawyer,Criminal Law,Lawyer → Criminal Law
266,100,90,82,4,9,10,5,8,2,81,Engineer,Civil,Engineer → Civil
267,82,85,80,7,6,10,7,10,3,80,Doctor,Pediatrics,Doctor → Pediatrics
268,84,78,85,5,10,8,7,7,4,76,Teacher,Elementary,Teacher → Elementary
269,76,78,88,9,7,8,7,7,6,82,Business,Operations,Business → Operations
270,66,70,83,8,10,7,6,7,7,73,Designer,Architecture,Designer → Architecture
271,92,89,80,6,10,10,5,6,2,83,Scientist,Data Science,Scientist → Data Science
272,95,90,84,3,10,9,4,5,2,79,Scientist,Physics,Scientist → Physics
273,87,75,82,8,9,6,7,7,3,80,IT Professional,Software Development,IT Professional → Software Development
274,66,63,95,8,6,8,10,8,5,73,Business,Entrepreneurship,Business → Entrepreneurship
275,71,76,91,7,8,8,9,7,4,76,Lawyer,Family Law,Lawyer → Family Law
276,85,68,85,7,7,9,7,5,3,77,Lawyer,Environmental Law,Lawyer → Environmental Law
277,79,73,92,8,7,9,8,8,6,81,Business,Operations,Business → Operations
278,96,94,69,3,10,9,5,8,3,77,Scientist,Chemistry,Scientist → Chemistry
279,87,81,85,6,8,7,6,7,4,79,IT Professional,Cybersecurity,IT Professional → Cybersecurity
280,76,66,70,7,7,8,8,7,5,71,Business,Finance,Business → Finance
281,65,59,85,5,7,8,7,7,5,65,Lawyer,Family Law,Lawyer → Family Law
282,63,70,77,7,9,8,8,8,4,69,Designer,UI/UX,Designer → UI/UX
283,76,67,92,6,9,8,6,5,4,73,Lawyer,Public Interest,Lawyer → Public Interest
284,85,90,64,5,7,10,5,8,5,76,Engineer,Mechanical,Engineer → Mechanical
285,75,76,78,6,7,9,9,6,4,73,Business,Management,Business → Management
286,80,65,70,10,8,7,6,7,4,77,Designer,Game Design,Designer → Game Design
287,81,64,86,8,8,9,8,6,4,76,Business,Marketing,Business → Marketing
288,95,89,77,5,9,6,7,7,5,81,IT Professional,AI/ML,IT Professional → AI/ML
289,73,73,75,9,8,6,8,6,4,76,Designer,Game Design,Designer → Game Design
290,68,73,90,7,9,10,9,7,6,74,Lawyer,Criminal Law,Lawyer → Criminal Law
291,73,89,82,8,9,7,8,9,4,80,Teacher,Special Education,Teacher → Special Education
292,80,68,76,9,10,6,6,9,5,79,Designer,Fashion,Designer → Fashion
293,92,100,90,7,8,8,7,9,3,89,Doctor,General Medicine,Doctor → General Medicine
294,83,74,95,7,8,7,7,7,2,79,Teacher,Special Education,Teacher → Special Education
295,85,80,80,7,9,8,8,8,5,79,Lawyer,Family Law,Lawyer → Family Law
296,76,80,79,6,8,10,8,7,4,74,Business,Finance,Business → Finance
297,75,69,80,6,7,8,6,8,4,71,Lawyer,Family Law,Lawyer → Family Law
298,55,52,87,8,8,6,9,7,6,65,Designer,UI/UX,Designer → UI/UX
299,64,70,74,10,8,6,9,7,5,75,Designer,UI/UX,Designer → UI/UX
300,82,64,86,6,7,9,9,8,4,74,Business,Management,Business → Management
301,75,100,77,5,6,9,7,10,3,78,Doctor,Pediatrics,Doctor → Pediatrics
302,100,96,67,4,7,7,6,7,4,80,Engineer,Computer Science,Engineer → Computer Science
303,83,70,92,6,8,10,6,7,6,75,Lawyer,Environmental Law,Lawyer → Environmental Law
304,65,50,73,8,10,7,6,8,3,65,Designer,UI/UX,Designer → UI/UX
305,81,81,75,7,10,8,6,8,3,77,Teacher,Mathematics,Teacher → Mathematics
306,71,74,89,9,8,8,9,7,3,79,Teacher,Special Education,Teacher → Special Education
307,88,90,75,5,7,7,6,7,7,79,IT Professional,AI/ML,IT Professional → AI/ML
308,94,95,68,5,10,8,5,5,5,81,Scientist,Research,Scientist → Research
309,78,77,80,5,7,8,9,5,4,73,Lawyer,Environmental Law,Lawyer → Environmental Law
310,69,59,77,7,9,7,9,8,3,68,Designer,Game Design,Designer → Game Design
311,92,76,75,5,7,6,5,6,5,75,IT Professional,Software Development,IT Professional → Software Development
312,89,85,65,5,10,8,5,7,5,76,Scientist,Environmental,Scientist → Environmental
313,95,80,76,5,8,8,7,7,5,77,Engineer,Electrical,Engineer → Electrical
314,76,57,75,9,9,5,7,9,3,73,Designer,Fashion,Designer → Fashion
315,89,85,65,4,9,10,7,6,3,73,Scientist,Biology,Scientist → Biology
316,78,73,96,4,9,8,6,6,4,73,Lawyer,Corporate Law,Lawyer → Corporate Law
317,89,95,68,4,9,8,6,7,2,76,Scientist,Environmental,Scientist → Environmental
318,86,97,60,7,9,8,6,5,4,81,Engineer,Civil,Engineer → Civil
319,68,65,77,6,7,8,9,7,3,68,Business,Consulting,Business → Consulting
320,70,84,88,8,10,10,7,7,4,80,Teacher,Mathematics,Teacher → Mathematics
321,85,96,71,4,8,7,5,7,3,77,Scientist,Environmental,Scientist → Environmental
322,64,67,71,9,9,6,8,7,3,72,Designer,UI/UX,Designer → UI/UX
323,85,82,93,8,7,8,7,10,2,84,Teacher,English,Teacher → English
